Book,,Author,Time,Date Started,Date Ended,Days Taken,Min Per Day,Year,Pages,Speed,Year,Minutes,Google Book ID,Series,Speed Graph,URL,Ratings,Image Last Update
The Da Vinci Code,,Dan Brown,16:43:00,18-Oct-2010,13-Nov-2010,26,39,1-Jan-2003,484,19,2010,"1,003",ivzfRJGrdFsC,Robert Langdon-2,[][],http://ecx.images-amazon.com/images/I/51-fcrLIO0L._SL160.jpg,4,9-Feb-2016
Harry Potter and the Philosopher's Stone,,J.K. Rowling,,,14-Nov-2010,,0,,,,2010,0,wrOQLV6xB-wC,Harry Potter-1,,http://ecx.images-amazon.com/images/I/51SBCPRR1ZL._SL160.jpg,5,9-Feb-2016
Harry Potter and the Chamber of Secrets,,J.K. Rowling,08:44:27,14-Nov-2010,17-Nov-2010,3,175,2-Jul-1998,341,114,2010,524,0ckXBAAAQBAJ,Harry Potter-2,[][][][][][][][][],http://ecx.images-amazon.com/images/I/513QPRA7E7L._SL160.jpg,4,9-Feb-2016
Harry Potter and the Prisoner of Azkaban,,J.K. Rowling,11:48:09,17-Nov-2010,24-Nov-2010,7,101,8-Jul-1999,435,62,2010,708,wHlDzHnt6x0C,Harry Potter-3,[][][][][],http://ecx.images-amazon.com/images/I/512t2MI-I3L._SL160.jpg,4,9-Feb-2016
Harry Potter and the Goblet of Fire,,J.K. Rowling,20:36:25,24-Nov-2010,10-Dec-2010,16,77,8-Jul-2000,734,46,2010,"1,236",KKFTfEQ8bRAC,Harry Potter-6,[][][][],http://ecx.images-amazon.com/images/I/51BKEV%2By7EL._SL160.jpg,4,9-Feb-2016
Harry Potter and the Order of Phoenix,,J.K. Rowling,26:22:38,10-Dec-2010,5-Jan-2011,26,61,21-Jun-2003,870,33,2011,"1,583",OQluPwAACAAJ,Harry Potter-5,[][][],http://ecx.images-amazon.com/images/I/51BH8S8FKSL._SL160.jpg,4,9-Feb-2016
Harry Potter and the Half Blood Prince,,J.K. Rowling,19:11:35,5-Jan-2011,17-Jan-2011,12,96,16-Jul-2005,652,54,2011,"1,152",qaKkenvL29UC,Harry Potter-6,[][][][][],http://ecx.images-amazon.com/images/I/51JTPF5ZSNL._SL160.jpg,4,9-Feb-2016
Harry Potter and the Deathly Hollows,,J.K. Rowling,21:38:30,17-Jan-2011,1-Feb-2011,15,87,21-Jul-2007,784,52,2011,"1,299",gCtazG4ZXlQC,Harry Potter-7,[][][][],http://ecx.images-amazon.com/images/I/51CJ3bmBzlL._SL160.jpg,4,9-Feb-2016
Alice in Wonderland,,Lewis Carroll,,,2-Feb-2011,,0,26-Nov-1865,192,,2011,0,CkSXAgAAQBAJ,,,http://ecx.images-amazon.com/images/I/517BR28AFJL._SL160.jpg,3,9-Feb-2016
The Secret Garden,,Frances Hodgson Burnett,08:27:00,2-Feb-2011,15-Feb-2011,13,39,1-Jan-1911,234,18,2011,507,dW9Du-7cSnUC,,[][],http://ecx.images-amazon.com/images/I/51Nupi2fkoL._SL160.jpg,4,9-Feb-2016
Jaws,,Peter Benchley,09:39:34,15-Feb-2011,1-Mar-2011,14,41,1-Jan-1974,311,22,2011,580,cG7CjP1Gd-AC,,[][],http://ecx.images-amazon.com/images/I/41EoUWlm5YL._SL160.jpg,3,9-Feb-2016
The Hobbit,,J.R.R. Tolkien,11:04:14,15-Mar-2011,10-Apr-2011,26,26,1-Jan-1937,310,12,2011,664,F2xu1nZOzKoC,,[],http://ecx.images-amazon.com/images/I/6113XDPUrVL._SL160.jpg,4,9-Feb-2016
The Fellowship of the Ring,,J.R.R. Tolkien,19:10:53,10-Apr-2011,1-May-2011,21,55,24-Jul-1954,531,25,2011,"1,151",xFr92V2k3PIC,Lord of the Rings-1,[][][],http://ecx.images-amazon.com/images/I/41Ta5-vOB2L._SL160.jpg,4,9-Feb-2016
The Two Towers,,J.R.R. Tolkien,16:45:51,1-May-2011,13-May-2011,12,84,11-Nov-1954,464,39,2011,"1,006",UraJfjMXYV0C,Lord of the Rings-2,[][][][],http://ecx.images-amazon.com/images/I/31RYaLyTfTL._SL160.jpg,4,9-Feb-2016
The Return of the King,,J.R.R. Tolkien,15:26:33,13-May-2011,24-May-2011,11,84,20-Oct-1955,416,38,2011,927,dQkFLM8_5ZEC,Lord of the Rings-3,[][][][],http://ecx.images-amazon.com/images/I/213PTkHsfXL._SL160.jpg,4,9-Feb-2016
Experiencing God,,Henry T Blackaby,11:16:36,24-May-2011,9-Jun-2011,16,42,,337,21,2011,677,JtZaP8AWwkcC,,[][],http://ecx.images-amazon.com/images/I/516TKx9nc7L._SL160.jpg,4,9-Feb-2016
Fear Nothing,,Dean Koontz,12:39:03,9-Jun-2011,17-Jun-2011,8,95,1-Jan-1997,373,47,2011,759,TUhjpwAACAAJ,,[][][][][],http://ecx.images-amazon.com/images/I/414krtnQGvL._SL160.jpg,3,9-Feb-2016
The Hunger Games,,Suzanne Collins,11:11:38,17-Jun-2011,19-Jun-2011,2,336,14-Sep-2008,384,192,2011,672,h62hbrZbaXAC,Hunger Games-1,[][][][][][][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/41VwRHS2xAL._SL160.jpg,5,9-Feb-2016
The Purpose Driven Life,,Rick Warren,09:02:00,19-Jun-2011,26-Jun-2011,7,77,1-Jan-2002,334,48,2011,542,m3XJ3x0cFsYC,,[][][][],http://ecx.images-amazon.com/images/I/51DvjiOUaOL._SL160.jpg,4,9-Feb-2016
The Graveyard Book,,Neil Gaiman,07:43:36,28-Jun-2011,1-Jul-2011,3,155,1-Jan-2008,312,104,2011,464,ahdykgEACAAJ,,[][][][][][][][],http://ecx.images-amazon.com/images/I/51xMD9jr2ML._SL160.jpg,3,9-Feb-2016
Scarpetta,,Patricia Cornwell,13:14:00,1-Jul-2011,7-Jul-2011,6,132,1-Jan-2008,508,85,2011,794,c3lANwAACAAJ,Scarpetta-16,[][][][][][][],http://ecx.images-amazon.com/images/I/51OVnDkNc1L._SL160.jpg,4,9-Feb-2016
State of Fear,,Michael Crichton,18:07:00,7-Jul-2011,14-Jul-2011,7,155,1-Nov-2004,623,89,2011,"1,087",dPGH7o9NdB0C,,[][][][][][][][],http://ecx.images-amazon.com/images/I/41X5HW7F34L._SL100.jpg,3,9-Feb-2016
The Strain,,Guillermo del Toro and Chuck Hogan,13:36:00,14-Jul-2011,22-Jul-2011,8,102,2-Jun-2009,416,52,2011,816,fcwFK82FOzgC,The Strain-1,[][][][][],http://ecx.images-amazon.com/images/I/51Idg%2BoHg7L._SL100.jpg,3,9-Feb-2016
Catching Fire,,Suzanne Collins,11:41:00,22-Jul-2011,26-Jul-2011,4,175,1-Jan-2009,391,98,2011,701,G8kdAgAAQBAJ,Hunger Games-2,[][][][][][][][][],http://ecx.images-amazon.com/images/I/51nTMA60fiL._SL160.jpg,5,9-Feb-2016
Transfer of Power,,Vince Flynn,16:48:00,27-Jul-2011,31-Jul-2011,5,202,1-Jan-1999,416,83,2011,"1,008",Gd24H39VwBcC,Mitch Rapp-1,[][][][][][][][][][],http://ecx.images-amazon.com/images/I/51Am1og%2BeLL._SL100.jpg,4,9-Feb-2016
Mockingjay,,Suzanne Collins,11:43:00,1-Aug-2011,2-Aug-2011,2,352,24-Aug-2010,400,200,2011,703,Iw_gHtk4ghYC,Hunger Games-3,[][][][][][][][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/41k66TFC43L._SL160.jpg,3,9-Feb-2016
Death by Black Hole,,Neil deGrasse Tyson,12:08:00,3-Aug-2011,8-Aug-2011,6,121,22-Jan-2007,384,64,2011,728,AbQXSDAZQLwC,,[][][][][][],http://ecx.images-amazon.com/images/I/41QrCMtFHUL._SL160.jpg,3,9-Feb-2016
The Third Option,,Vince Flynn,11:48:00,9-Aug-2011,13-Aug-2011,5,142,1-Jan-2000,358,72,2011,708,B63l8_yh2BkC,Mitch Rapp-2,[][][][][][][],http://ecx.images-amazon.com/images/I/51iYUG4NmUL._SL160.jpg,4,9-Feb-2016
The Girl with the Dragon Tattoo,,Stieg Larsson,18:50:00,14-Aug-2011,21-Aug-2011,8,141,1-Jan-2005,590,74,2011,"1,130",0zlhBQAAQBAJ,Millennium-1,[][][][][][][],http://ecx.images-amazon.com/images/I/51qVo7%2BUPbL._SL160.jpg,4,9-Feb-2016
The Mote in God's Eyes,,"Larry Niven, Jerry Pournelle",20:27:00,22-Aug-2011,5-Sep-2011,15,82,1-Jan-1974,537,36,2011,"1,227",lKt5laoj1coC,The Mote in God's Eye-1,[][][][],http://ecx.images-amazon.com/images/I/51FDQlLeBkL._SL160.jpg,3,9-Feb-2016
Separation of Power,,Vince Flynn,14:00:00,6-Sep-2011,13-Sep-2011,8,105,1-Jan-2011,368,46,2011,840,PuQ3ITwH4DAC,Mitch Rapp-3,[][][][][],http://ecx.images-amazon.com/images/I/51F49uMyuVL._SL160.jpg,4,9-Feb-2016
Star Wars - Fate of the Jedi: Outcast,,Aaron Allston,10:12:00,14-Sep-2011,19-Sep-2011,6,102,24-Mar-2009,318,53,2011,612,q2eOiOexY9UC,Star Wars: Fate of the Jedi-1,[][][][][],http://ecx.images-amazon.com/images/I/51anmm4FRNL._SL160.jpg,3,9-Feb-2016
The Girl Who Played with Fire,,Stieg Larsson,20:52:00,20-Sep-2011,4-Oct-2011,15,83,1-Jan-2006,630,42,2011,"1,252",filhBQAAQBAJ,Millennium-2,[][][][],http://ecx.images-amazon.com/images/I/61zJ363UB9L._SL160.jpg,4,9-Feb-2016
Lightning,,Dean Koontz,12:58:00,5-Oct-2011,8-Oct-2011,4,195,12-Jan-1988,351,88,2011,778,wXYuLuPnY2UC,,[][][][][][][][][][],http://ecx.images-amazon.com/images/I/41ZFfdDQIyL._SL160.jpg,5,9-Feb-2016
Executive Power,,Vince Flynn,13:03:00,9-Oct-2011,12-Oct-2011,4,196,6-May-2003,384,96,2011,783,6z87CQAAQBAJ,Mitch Rapp-4,[][][][][][][][][][],http://ecx.images-amazon.com/images/I/517bhw-AtSL._SL160.jpg,4,9-Feb-2016
